scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
Paillier-baseline,7,True,inside,inside,9.775161743164062e-06,4.76837158203125e-07,4.1813225746154785,0.9,19.4,112.4609375,112.80859375,177,6598
Paillier-baseline,5,True,inside,inside,5.0067901611328125e-06,7.152557373046875e-07,4.229708909988403,0.9,13.6,112.37109375,112.7890625,177,6598
Paillier-baseline,0,True,inside,inside,1.7881393432617188e-05,0.0,4.452108860015869,1.0,26.5,112.29296875,112.76171875,177,6598
Paillier-baseline,2,True,inside,inside,1.0728836059570312e-05,2.384185791015625e-07,4.58070707321167,1.0,25.6,112.3203125,112.73046875,177,6598
Paillier-baseline,6,True,inside,inside,1.0251998901367188e-05,0.0,8.227703332901001,0.9,24.5,112.515625,112.6875,177,6598
Paillier-baseline,1,True,inside,inside,1.1682510375976562e-05,2.384185791015625e-07,8.571157217025757,1.0,25.5,112.32421875,112.6640625,177,6598
Paillier-baseline,8,True,inside,inside,6.67572021484375e-06,2.384185791015625e-07,8.667142868041992,0.9,15.2,112.5078125,112.6328125,177,6598
Paillier-baseline,3,True,inside,inside,1.0251998901367188e-05,4.76837158203125e-07,8.73532485961914,0.9,11.3,112.359375,112.6015625,177,6598
Paillier-baseline,9,True,inside,inside,1.1205673217773438e-05,2.384185791015625e-07,12.304578304290771,0.9,5.8,112.484375,112.47265625,177,6598
Paillier-baseline,4,True,inside,inside,1.0013580322265625e-05,2.384185791015625e-07,12.61046838760376,0.9,0.0,112.34765625,112.44140625,177,6598
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.616,0.793,1.262,1.0,1.0,1.0,1.0
Paillier-baseline,1,True,inside,inside,8.821487426757812e-06,0.0,4.362498760223389,2.7,24.8,112.75,112.90234375,177,6596
Paillier-baseline,3,True,inside,inside,5.0067901611328125e-06,0.0,4.4507896900177,2.7,20.8,112.75,112.87890625,177,6596
Paillier-baseline,0,True,inside,inside,1.33514404296875e-05,2.384185791015625e-07,4.6020143032073975,2.8,21.8,112.75,112.84765625,177,6596
Paillier-baseline,2,True,inside,inside,8.58306884765625e-06,2.384185791015625e-07,4.976211071014404,2.7,21.4,112.75,112.81640625,177,6596
Paillier-baseline,4,True,inside,inside,6.4373016357421875e-06,0.0,8.399737358093262,2.7,25.5,112.75390625,112.78125,177,6596
Paillier-baseline,5,True,inside,inside,4.5299530029296875e-06,0.0,8.44346809387207,2.7,23.2,112.75390625,112.75,177,6596
Paillier-baseline,7,True,inside,inside,5.7220458984375e-06,2.384185791015625e-07,8.585361003875732,2.8,18.7,112.7734375,112.71875,177,6596
Paillier-baseline,9,True,inside,inside,6.9141387939453125e-06,2.384185791015625e-07,8.866139888763428,2.8,12.4,112.765625,112.68359375,177,6596
Paillier-baseline,6,True,inside,inside,1.049041748046875e-05,2.384185791015625e-07,12.19597053527832,2.7,6.5,112.80078125,112.59765625,177,6596
Paillier-baseline,8,True,inside,inside,6.67572021484375e-06,4.76837158203125e-07,12.252739906311035,2.8,6.0,112.7734375,112.5625,177,6596
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.259,0.816,1.226,1.0,1.0,1.0,1.0
Paillier-baseline,1,True,inside,inside,9.775161743164062e-06,2.384185791015625e-07,4.189260721206665,2.7,25.5,112.7265625,112.9453125,177,6600
Paillier-baseline,3,True,inside,inside,4.291534423828125e-06,4.76837158203125e-07,4.370342016220093,2.7,27.7,112.7265625,112.921875,177,6600
Paillier-baseline,0,True,inside,inside,1.430511474609375e-05,2.384185791015625e-07,4.482303142547607,2.7,25.5,112.7265625,112.890625,177,6600
Paillier-baseline,2,True,inside,inside,5.0067901611328125e-06,4.76837158203125e-07,4.572417497634888,2.7,27.4,112.73046875,112.85546875,177,6600
Paillier-baseline,9,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,8.643731832504272,3.0,19.8,112.76171875,112.8203125,177,6600
Paillier-baseline,4,True,inside,inside,9.298324584960938e-06,0.0,8.648626804351807,2.7,18.4,112.73046875,112.78515625,177,6600
Paillier-baseline,5,True,inside,inside,1.1444091796875e-05,0.0,8.662144899368286,2.8,22.0,112.74609375,112.75390625,177,6600
Paillier-baseline,8,True,inside,inside,6.4373016357421875e-06,0.0,8.93713927268982,2.9,12.9,112.75390625,112.72265625,177,6600
Paillier-baseline,6,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,12.295207500457764,2.9,7.1,112.7578125,112.5234375,177,6600
Paillier-baseline,7,True,inside,inside,8.106231689453125e-06,4.76837158203125e-07,12.307925939559937,2.9,6.2,112.74609375,112.4921875,177,6600
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.314,0.812,1.231,1.0,1.0,1.0,1.0
Paillier-baseline,2,True,inside,inside,6.9141387939453125e-06,4.76837158203125e-07,4.210303068161011,2.9,25.0,112.75390625,112.890625,177,6600
Paillier-baseline,0,True,inside,inside,3.123283386230469e-05,2.384185791015625e-07,4.268317222595215,2.8,25.3,112.75,112.86328125,177,6600
Paillier-baseline,5,True,inside,inside,1.1205673217773438e-05,2.384185791015625e-07,4.345875978469849,3.0,22.7,112.76953125,112.828125,177,6600
Paillier-baseline,1,True,inside,inside,1.430511474609375e-05,2.384185791015625e-07,4.387072324752808,2.8,25.3,112.75,112.79296875,177,6600
Paillier-baseline,3,True,inside,inside,6.4373016357421875e-06,0.0,8.431276321411133,2.9,27.7,112.7578125,112.7734375,177,6600
Paillier-baseline,4,True,inside,inside,7.62939453125e-06,2.384185791015625e-07,8.650941848754883,3.0,26.8,112.77734375,112.7421875,177,6600
Paillier-baseline,8,True,inside,inside,9.5367431640625e-06,0.0,8.824833631515503,3.1,18.9,112.77734375,112.7109375,177,6600
Paillier-baseline,9,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,9.13476824760437,3.1,11.0,112.77734375,112.67578125,177,6600
Paillier-baseline,7,True,inside,inside,9.5367431640625e-06,0.0,12.301893949508667,3.1,7.2,112.77734375,112.53515625,177,6600
Paillier-baseline,6,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,12.498607873916626,3.1,0.0,112.77734375,112.5,177,6600
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.505,0.8,1.251,1.0,1.0,1.0,1.0
Paillier-baseline,1,True,inside,inside,1.049041748046875e-05,2.384185791015625e-07,4.451602935791016,3.6,22.4,112.7578125,112.91015625,177,6600
Paillier-baseline,4,True,inside,inside,9.059906005859375e-06,2.384185791015625e-07,4.450547456741333,3.6,22.2,112.76171875,112.91015625,177,6600
Paillier-baseline,0,True,inside,inside,1.8358230590820312e-05,2.384185791015625e-07,4.487326622009277,3.6,25.5,112.75390625,112.85546875,177,6600
Paillier-baseline,5,True,inside,inside,1.0013580322265625e-05,4.76837158203125e-07,4.495551586151123,3.6,28.3,112.78125,112.8203125,177,6600
Paillier-baseline,3,True,inside,inside,9.059906005859375e-06,2.384185791015625e-07,8.570701122283936,3.6,27.7,112.76171875,112.78515625,177,6600
Paillier-baseline,2,True,inside,inside,6.67572021484375e-06,4.76837158203125e-07,8.702449083328247,3.6,19.1,112.76171875,112.75390625,177,6600
Paillier-baseline,6,True,inside,inside,6.4373016357421875e-06,0.0,8.70785403251648,3.6,20.7,112.79296875,112.72265625,177,6600
Paillier-baseline,8,True,inside,inside,7.3909759521484375e-06,2.384185791015625e-07,8.920170307159424,3.6,12.6,112.8046875,112.69140625,177,6600
Paillier-baseline,7,True,inside,inside,7.3909759521484375e-06,2.384185791015625e-07,13.037795066833496,3.6,8.0,112.78125,112.66015625,177,6600
Paillier-baseline,9,True,inside,inside,7.62939453125e-06,0.0,13.156529426574707,3.6,0.0,112.8046875,112.625,177,6600
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,13.164,0.76,1.316,1.0,1.0,1.0,1.0
Paillier-baseline,2,True,inside,inside,9.059906005859375e-06,0.0,4.196618318557739,3.9,26.9,112.6640625,112.875,177,6599
Paillier-baseline,0,True,inside,inside,1.8835067749023438e-05,2.384185791015625e-07,4.2025673389434814,3.7,25.0,112.66015625,112.8515625,177,6599
Paillier-baseline,6,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,4.459342956542969,0.9,23.5,112.6796875,112.8203125,177,6599
Paillier-baseline,5,True,inside,inside,4.291534423828125e-06,4.76837158203125e-07,4.540607213973999,0.9,25.3,112.6796875,112.7890625,177,6599
Paillier-baseline,4,True,inside,inside,5.4836273193359375e-06,2.384185791015625e-07,8.301652193069458,0.9,26.3,112.67578125,112.7578125,177,6599
Paillier-baseline,3,True,inside,inside,9.775161743164062e-06,2.384185791015625e-07,8.404252529144287,1.0,23.2,112.6640625,112.72265625,177,6599
Paillier-baseline,1,True,inside,inside,6.4373016357421875e-06,0.0,8.640438079833984,3.0,18.8,112.6640625,112.69140625,177,6599
Paillier-baseline,8,True,inside,inside,1.2874603271484375e-05,2.384185791015625e-07,9.19057583808899,0.9,14.6,112.7578125,112.66015625,177,6599
Paillier-baseline,7,True,inside,inside,6.4373016357421875e-06,2.384185791015625e-07,12.072444915771484,0.9,3.1,112.7109375,112.62890625,177,6599
Paillier-baseline,9,True,inside,inside,1.3113021850585938e-05,0.0,12.1258704662323,0.9,0.0,112.76171875,112.59765625,177,6599
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.134,0.824,1.213,1.0,1.0,1.0,1.0
Paillier-baseline,2,True,inside,inside,6.9141387939453125e-06,2.384185791015625e-07,4.175726890563965,1.8,26.6,112.7734375,112.890625,177,6599
Paillier-baseline,6,True,inside,inside,3.337860107421875e-06,2.384185791015625e-07,4.282952547073364,1.8,22.0,112.7734375,112.859375,177,6599
Paillier-baseline,0,True,inside,inside,1.4543533325195312e-05,2.384185791015625e-07,4.607701301574707,1.8,25.0,112.76171875,112.82421875,177,6599
Paillier-baseline,1,True,inside,inside,9.298324584960938e-06,0.0,4.6388914585113525,1.8,26.4,112.765625,112.79296875,177,6599
Paillier-baseline,5,True,inside,inside,4.5299530029296875e-06,4.76837158203125e-07,8.339563131332397,1.8,26.9,112.7734375,112.76171875,177,6599
Paillier-baseline,8,True,inside,inside,1.8835067749023438e-05,2.384185791015625e-07,8.44821047782898,1.8,26.3,112.80078125,112.734375,177,6599
Paillier-baseline,3,True,inside,inside,6.4373016357421875e-06,2.384185791015625e-07,8.632401943206787,1.8,21.0,112.7734375,112.69921875,177,6599
Paillier-baseline,7,True,inside,inside,8.58306884765625e-06,0.0,8.773969888687134,1.8,13.3,112.78515625,112.66796875,177,6599
Paillier-baseline,4,True,inside,inside,3.337860107421875e-06,4.76837158203125e-07,12.195213794708252,1.8,7.4,112.7734375,112.62890625,177,6599
Paillier-baseline,9,True,inside,inside,1.0251998901367188e-05,0.0,12.333729267120361,1.8,1.0,112.78515625,112.59765625,177,6599
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.342,0.81,1.234,1.0,1.0,1.0,1.0
Paillier-baseline,5,True,inside,inside,7.62939453125e-06,2.384185791015625e-07,4.660125255584717,2.0,23.5,112.765625,112.91015625,177,6598
Paillier-baseline,7,True,inside,inside,9.775161743164062e-06,4.76837158203125e-07,4.663362264633179,1.9,23.7,112.78125,112.88671875,177,6598
Paillier-baseline,2,True,inside,inside,9.059906005859375e-06,2.384185791015625e-07,4.688392639160156,2.1,27.4,112.76171875,112.85546875,177,6598
Paillier-baseline,0,True,inside,inside,1.6927719116210938e-05,0.0,4.842326879501343,2.1,22.9,112.76171875,112.8203125,177,6598
Paillier-baseline,1,True,inside,inside,1.811981201171875e-05,2.384185791015625e-07,8.830059289932251,2.1,23.5,112.76171875,110.3125,177,6598
Paillier-baseline,8,True,inside,inside,5.245208740234375e-06,2.384185791015625e-07,8.928378343582153,2.0,20.6,112.78125,110.28125,177,6598
Paillier-baseline,6,True,inside,inside,1.6689300537109375e-05,2.384185791015625e-07,8.991162538528442,1.9,15.2,112.77734375,110.24609375,177,6598
Paillier-baseline,9,True,inside,inside,4.0531158447265625e-06,2.384185791015625e-07,9.031687498092651,2.0,13.1,112.78125,110.21484375,177,6598
Paillier-baseline,3,True,inside,inside,1.0013580322265625e-05,0.0,12.479427099227905,2.0,6.2,112.765625,110.16015625,177,6598
Paillier-baseline,4,True,inside,inside,5.4836273193359375e-06,0.0,12.587502717971802,2.0,0.0,112.765625,110.12890625,177,6598
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.591,0.794,1.259,1.0,1.0,1.0,1.0
Paillier-baseline,1,True,inside,inside,1.8358230590820312e-05,0.0,4.595646381378174,1.0,23.2,110.6953125,110.86328125,177,6599
Paillier-baseline,3,True,inside,inside,1.0728836059570312e-05,2.384185791015625e-07,4.646631956100464,1.0,20.4,110.70703125,110.83984375,177,6599
Paillier-baseline,0,True,inside,inside,1.8358230590820312e-05,0.0,4.71540641784668,1.0,27.3,110.6953125,110.80859375,177,6599
Paillier-baseline,4,True,inside,inside,5.9604644775390625e-06,2.384185791015625e-07,4.714799165725708,1.0,26.1,110.70703125,110.77734375,177,6599
Paillier-baseline,6,True,inside,inside,1.049041748046875e-05,2.384185791015625e-07,8.933433771133423,1.0,25.3,110.71875,110.73046875,177,6599
Paillier-baseline,7,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,8.98072361946106,1.0,26.8,110.71875,110.703125,177,6599
Paillier-baseline,2,True,inside,inside,8.821487426757812e-06,0.0,8.98635482788086,1.1,24.3,110.6953125,110.671875,177,6599
Paillier-baseline,5,True,inside,inside,1.0728836059570312e-05,2.384185791015625e-07,9.098163366317749,1.0,25.9,110.71875,110.640625,177,6599
Paillier-baseline,8,True,inside,inside,1.9311904907226562e-05,2.384185791015625e-07,12.875857830047607,1.0,4.4,110.72265625,110.58203125,177,6599
Paillier-baseline,9,True,inside,inside,6.67572021484375e-06,2.384185791015625e-07,12.927175760269165,1.0,1.1,110.72265625,110.546875,177,6599
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.934,0.773,1.293,1.0,1.0,1.0,1.0
Paillier-baseline,0,True,inside,inside,1.811981201171875e-05,0.0,4.259287357330322,1.1,28.7,110.75,110.88671875,177,6599
Paillier-baseline,4,True,inside,inside,8.344650268554688e-06,2.384185791015625e-07,4.571782350540161,1.0,26.6,110.76953125,110.859375,177,6599
Paillier-baseline,2,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,4.745275020599365,1.0,25.9,110.75,110.828125,177,6599
Paillier-baseline,1,True,inside,inside,1.1682510375976562e-05,2.384185791015625e-07,5.085429906845093,1.0,28.6,110.75,110.79296875,177,6599
Paillier-baseline,3,True,inside,inside,5.0067901611328125e-06,0.0,8.438799619674683,1.0,24.0,110.75390625,110.76171875,177,6599
Paillier-baseline,8,True,inside,inside,8.58306884765625e-06,4.76837158203125e-07,8.746089696884155,1.0,27.1,110.8046875,110.73046875,177,6599
Paillier-baseline,5,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,8.935556173324585,1.0,21.9,110.76953125,110.69921875,177,6599
Paillier-baseline,9,True,inside,inside,5.7220458984375e-06,2.384185791015625e-07,9.314437627792358,1.0,12.5,110.78515625,110.66796875,177,6599
Paillier-baseline,6,True,inside,inside,5.7220458984375e-06,0.0,12.220353841781616,1.0,5.6,110.78125,110.53125,177,6599
Paillier-baseline,7,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,12.504020690917969,1.0,0.0,110.78125,110.49609375,177,6599
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.51,0.799,1.251,1.0,1.0,1.0,1.0
Paillier-baseline,4,True,inside,inside,4.0531158447265625e-06,4.76837158203125e-07,4.260866403579712,3.0,24.0,110.7109375,110.85546875,177,6598
Paillier-baseline,1,True,inside,inside,1.4066696166992188e-05,4.76837158203125e-07,4.295280694961548,3.0,26.7,110.70703125,110.83203125,177,6598
Paillier-baseline,7,True,inside,inside,1.0013580322265625e-05,0.0,4.337657451629639,2.7,27.2,110.73828125,110.796875,177,6598
Paillier-baseline,5,True,inside,inside,4.0531158447265625e-06,2.384185791015625e-07,4.5374755859375,3.0,24.0,110.7109375,110.76171875,177,6598
Paillier-baseline,6,True,inside,inside,1.1205673217773438e-05,2.384185791015625e-07,8.352087259292603,2.7,19.4,110.75,110.74609375,177,6598
Paillier-baseline,0,True,inside,inside,1.6689300537109375e-05,0.0,8.571179389953613,3.0,27.1,110.70703125,110.71484375,177,6598
Paillier-baseline,2,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,8.749744653701782,3.0,14.9,110.70703125,110.6796875,177,6598
Paillier-baseline,3,True,inside,inside,9.775161743164062e-06,4.76837158203125e-07,8.762844562530518,3.0,12.0,110.7109375,110.64453125,177,6598
Paillier-baseline,9,True,inside,inside,6.67572021484375e-06,4.76837158203125e-07,12.587949275970459,2.7,6.5,110.75,110.609375,177,6598
Paillier-baseline,8,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,12.788723468780518,2.6,0.0,110.796875,110.578125,177,6598
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.796,0.782,1.28,1.0,1.0,1.0,1.0
Paillier-baseline,0,True,inside,inside,1.049041748046875e-05,7.152557373046875e-07,4.456618309020996,3.5,22.7,110.7109375,110.921875,177,6600
Paillier-baseline,3,True,inside,inside,8.58306884765625e-06,2.384185791015625e-07,4.520465850830078,3.8,22.7,110.71484375,110.8984375,177,6600
Paillier-baseline,1,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,4.755251407623291,3.7,28.4,110.7109375,110.8671875,177,6600
Paillier-baseline,2,True,inside,inside,8.821487426757812e-06,0.0,4.804539680480957,3.8,31.6,110.71484375,110.8359375,177,6600
Paillier-baseline,4,True,inside,inside,8.344650268554688e-06,0.0,8.761314153671265,3.8,26.4,110.71484375,110.80078125,177,6600
Paillier-baseline,5,True,inside,inside,1.0251998901367188e-05,2.384185791015625e-07,9.026049375534058,3.8,26.4,110.7265625,110.76953125,177,6600
Paillier-baseline,6,True,inside,inside,1.5497207641601562e-05,2.384185791015625e-07,9.144114255905151,3.9,16.2,110.73828125,110.73828125,177,6600
Paillier-baseline,9,True,inside,inside,8.344650268554688e-06,0.0,9.204569101333618,4.0,13.0,110.74609375,110.70703125,177,6600
Paillier-baseline,7,True,inside,inside,1.3113021850585938e-05,2.384185791015625e-07,12.747976303100586,4.0,5.3,110.7421875,110.66015625,177,6600
Paillier-baseline,8,True,inside,inside,5.4836273193359375e-06,4.76837158203125e-07,12.989718198776245,4.0,0.0,110.7421875,110.62890625,177,6600
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.997,0.769,1.3,1.0,1.0,1.0,1.0
Paillier-baseline,0,True,inside,inside,1.7642974853515625e-05,2.384185791015625e-07,4.400995254516602,2.0,30.8,110.79296875,110.9609375,177,6600
Paillier-baseline,5,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,4.530113935470581,2.0,22.4,110.80859375,110.94140625,177,6600
Paillier-baseline,1,True,inside,inside,1.9311904907226562e-05,0.0,4.747493505477905,2.0,18.5,110.796875,110.91015625,177,6600
Paillier-baseline,6,True,inside,inside,9.298324584960938e-06,0.0,4.824017763137817,2.0,22.7,110.81640625,110.875,177,6600
Paillier-baseline,2,True,inside,inside,8.821487426757812e-06,4.76837158203125e-07,8.556197881698608,2.0,25.8,110.796875,110.83984375,177,6600
Paillier-baseline,9,True,inside,inside,5.4836273193359375e-06,2.384185791015625e-07,8.843850374221802,1.8,22.7,110.828125,110.8046875,177,6600
Paillier-baseline,7,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,9.07531189918518,1.9,13.5,110.81640625,110.76953125,177,6600
Paillier-baseline,4,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,9.09484338760376,2.0,13.7,110.796875,110.734375,177,6600
Paillier-baseline,8,True,inside,inside,7.152557373046875e-06,0.0,12.461041450500488,1.7,7.6,110.84375,110.68359375,177,6600
Paillier-baseline,3,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,12.747259140014648,2.0,0.0,110.8046875,110.65234375,177,6600
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.751,0.784,1.275,1.0,1.0,1.0,1.0
Paillier-baseline,8,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,4.4649903774261475,2.8,27.0,110.84765625,110.953125,177,6598
Paillier-baseline,1,True,inside,inside,3.5762786865234375e-06,2.384185791015625e-07,4.489291667938232,2.9,28.9,110.81640625,110.9296875,177,6598
Paillier-baseline,0,True,inside,inside,1.430511474609375e-05,0.0,4.596927165985107,2.9,16.4,110.81640625,110.89453125,177,6598
Paillier-baseline,2,True,inside,inside,6.9141387939453125e-06,2.384185791015625e-07,4.636127948760986,2.9,24.0,110.82421875,110.859375,177,6598
Paillier-baseline,4,True,inside,inside,1.239776611328125e-05,2.384185791015625e-07,8.696524143218994,2.9,25.5,110.84765625,110.828125,177,6598
Paillier-baseline,3,True,inside,inside,1.049041748046875e-05,4.76837158203125e-07,8.753126382827759,2.9,28.9,110.84765625,110.796875,177,6598
Paillier-baseline,6,True,inside,inside,9.775161743164062e-06,2.384185791015625e-07,9.167428493499756,2.8,19.6,110.84765625,110.76171875,177,6598
Paillier-baseline,5,True,inside,inside,8.821487426757812e-06,0.0,9.441922426223755,2.9,12.1,110.84765625,110.73046875,177,6598
Paillier-baseline,9,True,inside,inside,1.0967254638671875e-05,2.384185791015625e-07,12.408228635787964,2.6,3.2,110.85546875,110.69921875,177,6598
Paillier-baseline,7,True,inside,inside,4.291534423828125e-06,0.0,12.46628451347351,2.7,0.0,110.8515625,110.66796875,177,6598
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.473,0.802,1.247,1.0,1.0,1.0,1.0
Paillier-baseline,0,True,inside,inside,1.8358230590820312e-05,2.384185791015625e-07,4.403550863265991,0.0,24.7,110.83203125,110.9609375,177,6599
Paillier-baseline,3,True,inside,inside,8.106231689453125e-06,0.0,4.603011846542358,0.0,27.7,110.85546875,110.9296875,177,6599
Paillier-baseline,2,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,4.655697584152222,0.0,23.6,110.85546875,110.89453125,177,6599
Paillier-baseline,1,True,inside,inside,1.2874603271484375e-05,4.76837158203125e-07,4.709667205810547,0.0,28.4,110.83203125,110.86328125,177,6599
Paillier-baseline,8,True,inside,inside,8.58306884765625e-06,0.0,9.042860507965088,0.0,21.9,110.90234375,110.83203125,177,6599
Paillier-baseline,4,True,inside,inside,4.5299530029296875e-06,0.0,9.106816291809082,0.0,22.1,110.85546875,110.80078125,177,6599
Paillier-baseline,5,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,9.137412548065186,0.0,19.4,110.85546875,110.76953125,177,6599
Paillier-baseline,7,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,9.56647276878357,0.0,13.4,110.8828125,110.73828125,177,6599
Paillier-baseline,9,True,inside,inside,7.3909759521484375e-06,2.384185791015625e-07,12.715516328811646,0.0,4.6,110.88671875,110.6953125,177,6599
Paillier-baseline,6,True,inside,inside,6.9141387939453125e-06,0.0,12.783357620239258,0.0,0.0,110.8828125,110.6640625,177,6599
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,12.791,0.782,1.279,1.0,1.0,1.0,1.0
